source_text,target_text
わたしは マイク・ミラーです。,我是迈克·米勒。
ミラーさんは 会社員です。,米勒是公司职员。
あの方は どなたですか。,那个人是谁？（礼貌形式）
これは 辞書です。,这是词典。
この 傘は 私のです。,这把伞是我的。
ここは 食堂です。,这里是食堂。
電話は あそこです。,电话在那边。
今 4時5分です。,现在4点5分。
昨日 勉強しましたか。,昨天学习了吗？
私は 京都へ 行きます。,我要去京都。
タクシーで 家へ 帰ります。,搭出租车回家。
駅で 新聞を 買います。,在车站买报纸。
一緒に ビールを 飲みませんか。,一起喝啤酒好吗？
ワープロで 手紙を 書きます。,用打字机写信。
木村さんに 花を あげます。,送花给木村。
もう 荷物を 送りましたか。,行李已经寄走了吗？
桜は きれいです。,樱花很漂亮。
富士山は 高い 山です。,富士山是高山。
日本の 食べ物は 美味しいですが、高いです。,日本的食物很好吃但很贵。
私は イタリア料理が 好きです。,我喜欢意大利菜。
日本語が 少し わかります。,懂一点日语。
時間が ありませんから、タクシーで 行きます。,因为没时间，所以坐出租车去。
机の 上に 写真が あります。,桌子上有照片。
あそこに 男の 人が います。,在那边有个男人。
りんごを 4つ 買いました。,买了4个苹果。
80円の 切手を 5枚 買いました。,买了5张80日元的邮票。
北海道は 九州より 大きいです。,北海道比九州大。
1年で いつが いちばん 寒いですか。,一年里什么时候最冷？
私は 車が 欲しいです。,我想要车。
フランスへ 料理を 習いに 行きます。,去法国学做菜。
ちょっと 待って ください。,请等一下。
今 雨が 降って います。,现在正在下雨。
写真を 撮っても いいです。,可以拍照。
ここで 遊んでは いけません。,不准在这里玩。
市役所に 電話番号を 知って いますか。,你知道市议会的电话号码吗？
図書館へ 行って 本を 借りて、それから 友達に 会います。,去图书馆借书，然后去见朋友。
国へ 帰ってから、父の 仕事を 手伝います。,回国后，要帮父亲干活。
ここに 住所を 書かないで ください。,请不要在这里写地址。
薬を 飲まなければ なりません。,必须吃药。
日曜日は 早く 起きなくても いいです。,星期天不必早起。
スキーが できます。,会滑雪。
寝る 前に、日記を 書きます。,睡觉前记日记。
馬に 乗った ことが あります。,骑过马。
休みの 日は テニスを したり、散歩したり します。,休息日打打网球、散散步。
だんだん 暑く なります。,天气渐渐变热。
あしたは 雨が 降ると 思います。,我觉得明天会下雨。
日本は 物価が 高いと 思います。,我觉得日本物价高。
寝る 前に、「おやすみなさい」と 言います。,睡觉前说“晚安”。
ミラーさんは どこに 住んで いますか。,米勒先生住在哪里？
これは 日本で 撮った 写真です。,这是在日本拍的照片。
本を 借りる とき、カードが 要ります。,借书的时候需要借书卡。
この ボタンを 押すと、お釣りが 出ます。,按这个按钮，就会出零钱。
よく この 公園を 散歩しますか。,经常在这个公园散步吗？
木村さんに 本を 貸して あげました。,我把书借给木村了。
母は セーターを 送って くれました。,母亲给我寄来了毛衣。
私は 太郎君に 英語を 教えて あげました。,我教太郎英语了。
雨が 降ったら、出かけません。,如果下雨就不出门。
いくら 考えても、わかりません。,无论怎么想也不明白。
日本語で 手紙を 書いたんですが、見て いただけませんか。,我用日语写了封信，能帮我看看吗？
どこで カメラを 買ったら いいですか。,在哪里买相机好呢？
私は 日本語が 話せます。,我会说日语。
一人で 病院へ 行けますか。,你能一个人去医院吗？
音楽を 聞きながら 食事を します。,边听音乐边吃饭。
暇な とき、いつも 何を して いますか。,空闲的时候，你总是在做什么？
窓が 閉まって います。,窗户关着。
この 椅子は 壊れて います。,这把椅子坏了。
